url,page,check,status,detail,value
https://smartjsondiff.com/,home,"Title tag length/uniqueness",PASS,"OK","Smart JSON Diff - Semantic JSON Comparator"
https://smartjsondiff.com/,home,"Meta description presence/length",PASS,"OK","Compare JSON objects semantically with intelligent array matching. It sorts keys and array items before comparing for a more accurate diff."
https://smartjsondiff.com/,home,"H1 structure (exactly one)",FAIL,"MISSING H1","0"
https://smartjsondiff.com/,home,"Heading hierarchy (no skips)",PASS,"OK",""
https://smartjsondiff.com/,home,"Image alt coverage",PASS,"NO IMAGES","100"
https://smartjsondiff.com/,home,"Internal link count (>=1)",FAIL,"NO INTERNAL LINKS","0"
https://smartjsondiff.com/,home,"Canonical tag",PASS,"OK","https://smartjsondiff.com/"
https://smartjsondiff.com/,home,"Schema markup presence",PASS,"OK (WebApplication)","WebApplication"
https://smartjsondiff.com/,home,"Indexability (robots/noindex)",PASS,"OK","200"
https://smartjsondiff.com/,home,"robots.txt / sitemap ref",PASS,"OK",""
https://smartjsondiff.com/,home,"Mobile usability (viewport)",PASS,"VIEWPORT PRESENT (live mobile test needed)",""
https://smartjsondiff.com/,home,"Core Web Vitals (from build)",PASS,"OK (est.)",""
https://smartjsondiff.com/#/faq,faq,"Title tag length/uniqueness",FAIL,"NO OWN TITLE (hash route inherits root document)",""
https://smartjsondiff.com/#/faq,faq,"Meta description presence/length",FAIL,"NO OWN META DESCRIPTION (hash route)",""
https://smartjsondiff.com/#/faq,faq,"H1 structure (exactly one)",FAIL,"NO H1 (uses H2 as page heading)","0"
https://smartjsondiff.com/#/faq,faq,"Heading hierarchy (no skips)",PASS,"OK (H2 -> H3, valid)",""
https://smartjsondiff.com/#/faq,faq,"Image alt coverage",PASS,"NO IMAGES","100"
https://smartjsondiff.com/#/faq,faq,"Internal link count (>=1)",PASS,"OK (Back button)","1"
https://smartjsondiff.com/#/faq,faq,"Canonical tag",FAIL,"NO OWN CANONICAL (shares root; hash not canonicalized)",""
https://smartjsondiff.com/#/faq,faq,"Schema markup presence",PASS,"FAQPage JSON-LD injected at runtime","FAQPage(injected)"
https://smartjsondiff.com/#/faq,faq,"Indexability (robots/noindex)",FAIL,"HASH ROUTE NOT INDEPENDENTLY INDEXABLE","200"
https://smartjsondiff.com/#/faq,faq,"robots.txt / sitemap ref",PASS,"OK (inherits root robots.txt)",""
https://smartjsondiff.com/#/faq,faq,"Mobile usability (viewport)",PASS,"VIEWPORT PRESENT (inherits root)",""
https://smartjsondiff.com/#/faq,faq,"Core Web Vitals (from build)",PASS,"OK (est.)",""
